,Unnamed: 0,level_0,index,freq,syl,let,word,imag,conc,meaning,list,id,is_shown,recognized
83,83,161,604,100,2,6,forest,6.63,6.69,9.12,1,605,1,False
84,84,75,287,50,2,5,devil,5.63,2.13,6.94,1,288,1,True
85,85,158,599,9,3,10,microscope,6.57,7.0,5.48,1,600,1,True
86,86,222,813,100,1,3,boy,6.57,6.93,6.96,1,814,1,False
87,87,88,339,50,3,9,committee,5.03,6.35,5.95,1,340,1,True
88,88,85,324,19,2,9,northwest,4.0,3.97,5.76,1,325,0,False
89,89,193,717,1,3,8,falconer,4.03,5.9,5.64,1,718,1,True
90,90,115,415,1,4,9,criterion,1.83,1.93,3.0,1,416,1,True
91,91,94,353,3,3,9,blasphemy,3.17,2.88,5.19,1,354,0,False
92,92,134,511,100,1,5,plain,5.37,5.28,5.2,1,512,1,False
93,93,226,828,22,2,6,nephew,4.3,6.19,4.48,1,829,0,False
94,94,215,796,100,2,6,butter,6.57,6.96,6.91,1,797,0,False
95,95,205,753,50,2,7,student,6.27,6.38,5.96,1,754,1,False
96,96,51,214,7,3,8,lemonade,6.5,6.93,7.13,1,215,0,False
97,97,21,99,45,1,5,grief,4.7,1.86,6.32,1,100,0,True
98,98,184,684,26,2,5,elbow,6.3,6.94,5.16,1,685,0,False
99,99,125,471,38,1,4,limb,6.17,6.93,6.8,1,472,0,True
100,100,122,452,4,4,9,avalanche,6.27,6.38,6.72,1,453,0,False
101,101,145,565,9,3,7,dynasty,3.63,4.14,6.28,1,566,0,False
102,102,132,496,6,2,7,leopard,6.77,7.0,6.83,1,497,0,False
103,103,138,525,19,2,7,fatigue,5.07,4.28,3.88,1,526,0,True
104,104,15,79,35,3,8,elephant,6.83,7.0,6.88,1,80,0,False
105,105,156,589,15,3,7,alcohol,6.47,6.87,6.08,1,590,0,False
106,106,169,632,100,2,6,season,4.87,4.58,7.88,1,633,0,False
107,107,40,187,100,1,6,church,6.63,6.59,7.52,1,188,0,False
108,108,105,383,50,4,9,discovery,4.13,3.06,5.5,1,384,0,True
109,109,67,257,50,3,6,colony,5.1,5.87,5.0,1,258,0,False
110,110,170,633,1,5,11,impropriety,1.87,2.08,3.75,1,634,1,True
111,111,208,765,2,2,7,glutton,5.77,5.77,5.32,1,766,1,True
112,112,231,846,1,4,10,unbeliever,2.6,4.0,4.72,1,847,1,False
113,113,54,222,47,2,6,meadow,6.43,6.69,8.0,1,223,1,False
114,114,112,407,4,3,7,mastery,2.77,2.2,5.46,1,408,0,False
115,115,9,44,50,1,3,fun,5.23,2.45,5.5,1,45,1,True
116,116,150,570,50,2,6,cattle,6.4,6.79,7.56,1,571,1,False
117,117,131,494,23,3,8,facility,2.73,2.2,4.64,1,495,1,False
118,118,87,334,19,1,6,bronze,6.17,6.59,6.19,1,335,0,True
119,119,207,759,21,1,4,foam,6.33,6.73,6.44,1,760,0,True
120,120,190,713,3,4,11,predicament,3.3,2.18,4.64,1,714,0,False
121,121,139,529,3,2,7,sunburn,6.7,6.52,7.72,1,530,1,False
122,122,101,369,2,2,5,fiord,5.7,6.69,6.48,1,370,1,True
123,123,33,149,1,2,5,rosin,4.2,5.88,4.56,1,150,0,False
124,124,35,171,100,3,8,position,2.97,3.31,6.24,1,172,1,False
125,125,93,351,100,2,6,moment,2.5,2.52,4.38,1,352,1,True
126,126,96,355,50,1,5,wheat,6.4,7.0,7.96,1,356,0,False
127,127,232,857,2,2,7,skillet,6.1,6.8,7.43,1,858,0,True
128,128,97,358,25,1,3,fox,6.73,7.0,7.4,1,359,1,True
129,129,173,643,3,1,3,keg,6.4,6.87,4.84,1,644,1,True
130,130,92,347,100,1,6,street,6.57,6.62,7.48,1,348,0,True
