,Unnamed: 0,level_0,index,freq,syl,let,word,imag,conc,meaning,list,id,is_shown,recognized
0,0,129,520,1,4,9,armadillo,3.77,6.44,4.38,1,521,1,True
1,1,40,202,6,1,4,pelt,5.4,6.2,6.76,1,203,1,False
2,2,39,199,1,2,7,juggler,6.1,6.45,5.84,1,200,0,False
3,3,85,348,1,3,11,cobblestone,5.87,6.58,6.38,1,349,0,True
4,4,212,794,3,3,8,tomahawk,6.57,6.87,6.44,1,795,0,False
5,5,68,292,20,1,5,quest,4.53,2.76,5.2,1,293,1,True
6,6,30,157,4,3,9,honeycomb,6.23,6.5,5.78,1,158,1,True
7,7,37,190,1,2,5,mucus,5.53,6.16,6.38,1,191,1,False
8,8,141,561,50,2,6,bottle,6.57,6.94,7.24,1,562,1,True
9,9,178,670,22,1,4,jail,6.43,6.69,7.38,1,671,1,True
10,10,135,540,22,2,7,tribute,3.57,3.12,5.52,1,541,0,True
11,11,87,361,2,4,10,prosecutor,5.0,5.87,6.32,1,362,0,True
12,12,84,344,25,2,7,costume,5.8,6.12,6.19,1,345,1,False
13,13,185,694,3,3,8,retailer,4.33,5.88,6.76,1,695,1,True
14,14,23,116,14,3,7,volcano,6.63,6.83,7.6,1,117,1,False
15,15,113,471,38,1,4,limb,6.17,6.93,6.8,1,472,0,True
16,16,189,713,3,4,11,predicament,3.3,2.18,4.64,1,714,1,True
17,17,182,684,26,2,5,elbow,6.3,6.94,5.16,1,685,1,False
18,18,81,334,19,1,6,bronze,6.17,6.59,6.19,1,335,1,True
19,19,54,240,27,3,10,management,3.9,3.69,5.68,1,241,0,True
20,20,0,6,100,1,4,king,6.27,6.34,7.5,1,7,0,True
21,21,191,720,50,2,6,series,4.47,3.88,5.36,1,721,0,True
22,22,35,184,100,1,6,chance,2.5,1.51,5.61,1,185,1,True
23,23,56,251,14,2,7,tempest,5.63,5.62,6.96,1,252,0,True
24,24,33,174,8,1,4,bard,4.9,5.03,4.8,1,175,0,False
25,25,187,701,50,1,5,clock,6.5,6.94,7.08,1,702,0,False
26,26,123,506,3,3,10,inducement,2.93,2.34,3.68,1,507,1,True
27,27,118,493,50,1,4,fate,2.37,1.46,4.0,1,494,1,False
28,28,114,476,5,3,9,racketeer,5.07,6.07,5.56,1,477,0,False
29,29,216,810,100,1,3,car,6.87,7.0,6.38,1,811,0,False
30,30,231,862,1,3,8,clemency,2.9,1.97,3.94,1,863,1,True
31,31,200,745,100,1,4,kiss,6.8,6.13,6.68,1,746,0,True
32,32,6,27,27,1,3,inn,6.07,6.8,6.61,1,28,0,False
33,33,109,450,15,4,9,obedience,3.67,1.58,5.2,1,451,0,False
34,34,27,128,8,2,8,basement,6.03,6.83,6.83,1,129,1,False
35,35,49,224,1,5,11,elaboration,2.63,2.18,4.36,1,225,0,False
36,36,52,235,21,3,9,institute,4.6,5.84,4.92,1,236,0,False
37,37,44,211,100,1,5,child,6.5,6.87,7.04,1,212,0,False
38,38,186,699,1,5,12,emancipation,3.2,2.49,5.2,1,700,0,False
39,39,25,121,26,1,5,geese,6.53,6.83,7.48,1,122,1,True
40,40,159,616,19,3,7,loyalty,4.07,1.56,5.72,1,617,0,True
41,41,73,304,50,2,8,contract,4.5,5.24,6.32,1,305,0,True
42,42,238,891,100,2,6,dollar,6.5,6.62,6.48,1,892,1,True
43,43,53,238,4,4,10,hypothesis,2.4,2.25,5.36,1,239,1,False
44,44,105,424,21,3,8,devotion,3.9,1.48,5.52,1,425,0,False
45,45,229,858,100,1,3,sea,6.73,6.79,7.16,1,859,1,False
46,46,228,857,2,2,7,skillet,6.1,6.8,7.43,1,858,0,False
47,47,61,275,100,3,7,officer,6.23,6.32,5.43,1,276,0,False
48,48,169,646,23,1,6,warmth,5.7,4.0,7.36,1,647,0,False
49,49,143,563,4,1,5,flask,6.5,7.0,6.28,1,564,1,True
50,50,146,566,50,2,6,ticket,6.2,7.0,7.21,1,567,0,True
